X13A1 X13A2 X13A3 IC39A1 IC39A2 IC39A3 genenames
1921 1918 2057 1031 1094 1231 ZC3HAV1
932 860 984 808 895 926 IFT56
5799 4766 5372 4108 4347 4750 UBN2
38 39 51 31 31 46 FMC1
1518 1251 1409 1060 1099 1159 LUC7L2
39 44 34 27 42 27 NA
201 191 208 115 143 161 NA
182 155 196 198 222 215 NA
12992 11317 12647 16450 18634 21555 HIPK2
52 41 36 52 67 56 NA
62 77 62 77 101 127 NA
36 52 43 69 71 89 NA
205 178 223 104 147 179 TBXAS1
164 147 160 91 100 104 PARP12
3122 2318 2739 1965 2102 2339 KDM7A
102 89 112 45 40 53 KDM7A-DT
3283 2439 2876 1630 1892 1884 SLC37A3
6593 5181 5900 3752 4217 4427 MKRN1
37 28 37 67 57 63 NA
2857 2181 2544 2235 2692 2828 DENND2A
247 191 229 135 156 213 ADCK2
1156 1053 1280 700 867 778 NDUFB2
5039 4067 4499 3477 3879 4004 BRAF
74 59 63 67 106 85 NA
1135 1028 1214 654 703 706 MRPS33
2955 2508 2799 3378 3826 4208 TMEM178B
23 19 21 53 74 79 NA
51 52 67 41 41 45 AGK-DT
2532 2137 2315 1404 1539 1582 AGK
214 150 224 258 293 269 NA
4897 4012 4544 4952 5206 5857 DENND11
73 84 72 62 57 83 WEE2-AS1
4142 3731 4424 2146 2489 2550 SSBP1
79 57 65 51 73 68 TAS2R3
255 197 199 171 237 206 TAS2R4
56 34 29 35 36 41 TAS2R5
629 537 542 282 391 451 EPHB6
30 33 23 45 55 51 KEL
1543 1190 1353 654 790 844 GSTK1
2645 2420 2593 3302 3642 3899 CASP2
84 61 55 51 76 66 RN7SL535P
66 41 52 59 44 48 RN7SL481P
9 17 19 33 43 27 CLCN1
2106 1660 1781 2303 2735 2961 FAM131B
56 60 60 101 129 137 NA
190 154 171 140 150 180 FAM131B-AS2
2155 1808 2008 1261 1656 2014 ZYX
57 51 39 67 87 95 EPHA1
168 152 146 185 177 244 TCAF1P1
57 56 48 55 49 48 LOC101928466
3112 2661 3034 2831 2931 3118 TCAF1
39 20 26 44 46 47 NA
272 216 257 134 122 150 TPK1
5158 4554 5026 12198 13365 14445 CNTNAP2
6 0 0 44 41 64 NA
30 15 20 123 132 134 LOC124901766
99 106 119 69 76 79 NA
4850 4291 5098 3428 3548 4029 CUL1
7010 6011 6803 7020 7393 7738 EZH2
32 46 35 42 58 52 NA
614 423 448 344 328 510 RNY1
63 55 50 32 36 36 GHET1
9035 7820 8466 6865 8096 8621 PDIA4
816 697 793 728 847 983 ZNF786
240 240 203 198 239 323 ZNF425
1655 1401 1574 1244 1472 1608 ZNF398
1721 1373 1563 959 1324 1443 ZNF282
792 658 733 483 640 638 ZNF212
658 595 622 567 675 732 ZNF783
28 44 34 39 55 49 NA
113 47 79 36 50 50 LOC155060
39 36 39 20 38 41 LOC124901770
748 700 753 453 623 707 ZNF777
1702 1572 1682 1075 1356 1523 ZNF746
47 41 58 22 26 22 NA
1133 871 1082 758 894 1042 ZNF767P
63 60 74 99 98 112 NA
748 676 733 602 736 823 KRBA1
435 294 347 207 265 287 ZNF467
113 83 90 80 102 98 NA
227 152 154 131 154 162 SSPOP
42 25 49 41 37 51 NA
917 827 837 792 879 973 ZNF862
49 45 52 41 43 44 NA
46 40 24 40 34 46 NA
259 251 285 216 252 263 ATP6V0E2-AS1
924 879 868 903 1206 1320 ATP6V0E2
24 40 28 55 60 55 ACTR3C
839 679 686 145 202 199 RARRES2
74 66 108 67 112 116 REPIN1-AS1
3720 3470 3742 2783 3601 3840 REPIN1
669 489 588 295 408 467 ZNF775
189 136 136 104 96 103 ZNF775-AS1
218 189 190 147 157 177 LOC728743
736 568 587 521 725 768 KCNH2
109 81 87 29 26 41 NOS3
128 139 112 53 58 35 ATG9B
945 784 892 785 981 1165 ABCB8
166 131 148 83 133 112 ASIC3
446 431 434 351 418 460 CDK5
1350 1212 1261 1040 1499 1584 SLC4A2
1276 1122 1186 717 961 1158 FASTK
615 526 647 400 571 595 TMUB1
2769 2362 2620 1909 2465 2742 AGAP3
451 424 441 434 522 531 ABCF2
1544 1301 1483 1047 1354 1485 CHPF2
774 562 628 768 838 963 SMARCD3
2592 2224 2497 1632 1644 1799 NUB1
623 488 441 202 209 309 WDR86
89 56 76 16 29 21 WDR86-AS1
3515 2910 3406 1689 1937 2016 RHEB
129 127 135 110 124 114 NA
1667 1212 1403 364 404 423 PRKAG2
1607 1281 1463 898 1056 1115 GALNT11
25 21 36 54 63 82 NA
12493 10472 11395 11764 13153 14554 KMT2C
343 346 344 153 173 185 LINC01003
3147 2783 3292 2092 2366 2549 XRCC2
1330 1154 1302 647 713 731 ACTR3B
548 357 414 260 326 371 DPP6
173 147 131 120 178 153 NA
1300 1224 1335 1011 1147 1219 PAXIP1
56 27 42 27 50 37 NA
561 466 554 245 254 239 PAXIP1-DT
576 495 527 158 199 227 INSIG1-DT
5338 4791 5356 2005 2132 2214 INSIG1
9 3 4 225 230 327 NA
2 1 2 74 90 113 NA
8 5 1 136 169 213 NA
3810 3304 3942 5608 6766 7215 EN2
165 129 148 315 386 436 NA
81 47 67 76 95 101 CNPY1
662 466 535 1641 1990 2292 NA
11 18 19 24 44 51 NA
188 148 177 108 131 131 RBM33-DT
7594 5826 6311 4786 5574 6073 RBM33
414 316 335 281 349 353 RNF32-DT
123 110 99 91 116 123 RNF32
41 55 41 37 56 46 RNF32-AS1
3641 3130 3554 2799 3373 3337 LMBR1
1298 1216 1351 1280 1308 1460 NOM1
3760 3356 3766 3035 3430 3733 UBE3C
89 71 60 67 82 91 RPS27AP12
106 72 88 103 100 121 NA
6918 6097 6881 5012 5736 6050 DNAJB6
239 258 299 130 146 157 LOC101927914
50 78 88 36 29 27 NA
4786 4529 4939 2780 3437 3814 PTPRN2
46 21 24 34 43 32 NA
394 341 363 253 326 323 NA
1051 811 896 831 903 992 LOC105375614
19 4 20 73 93 81 NA
15 19 5 69 83 106 NA
9 10 10 52 57 58 NA
47 35 36 49 62 31 NA
5509 4848 5511 3669 4007 4240 NCAPG2
2050 1668 2031 1683 1929 1924 ESYT2
2155 1870 1933 1799 2079 2261 DYNC2I1
85 57 65 91 94 134 VIPR2
591 534 579 589 674 658 NA
190 151 193 201 213 211 ZNF596
97 98 98 64 56 39 NA
545 438 500 325 342 353 NA
1266 1109 1224 1307 1399 1552 FBXO25
44 44 31 43 75 78 NA
2355 1694 1876 1058 1184 1212 TDRP
1230 1040 1179 682 798 823 ERICH1
603 432 445 111 143 154 DLGAP2
696 599 647 573 698 716 CLN8
351 329 351 161 192 183 CLN8-AS1
404 327 360 268 302 309 ARHGEF10
58 44 44 45 41 40 KBTBD11-OT1
2830 2284 2567 2295 2625 2888 KBTBD11
200 126 179 146 181 174 MYOM2
12 16 11 62 107 87 NA
5 7 8 48 45 53 LINC03021
11 16 5 60 80 71 NA
87 85 73 673 819 900 LINC03021
12 13 12 32 48 82 NA
109 78 78 285 330 336 CSMD1
406 297 377 186 283 273 MCPH1-DT
2108 1718 2103 1728 1930 2030 MCPH1
111 105 97 169 147 172 ANGPT2
24 32 23 36 46 81 NA
41 28 30 54 51 53 NA
981 765 875 708 757 798 NA
4235 3681 4283 3644 3924 3843 AGPAT5
730 638 666 155 159 147 XKR5
143 140 140 123 115 143 GS1-24F4.2
73 70 61 47 46 48 NA
75 52 83 60 73 88 LOC101928095
137 120 129 84 108 118 FAM66B
147 118 99 206 285 272 NA
231 205 237 129 181 183 NA
251 214 246 126 163 187 FAM86B3P
2294 1991 2120 781 1102 1238 PRAG1
2328 2046 2187 1144 1386 1376 MFHAS1
1659 1521 1711 1507 1726 1591 ERI1
1071 823 880 466 494 538 PPP1R3B
154 101 129 40 42 28 LOC157273
11613 9753 10880 8816 9798 10462 TNKS
1750 1330 1490 1208 1448 1602 MIR124-1HG
186 160 166 98 102 111 NA
177 156 173 293 342 349 MSRA
47 34 50 113 142 182 NA
25 23 22 83 84 95 LINC03022
27 17 17 53 72 95 PRSS51
47 44 28 112 117 128 NA
64 61 57 44 82 77 SOX7-AS1
357 391 427 247 294 289 PINX1
35 33 26 29 41 41 NA
66 48 59 62 65 84 NA
118 82 106 76 103 102 NA
127 103 102 77 95 133 NA
499 374 447 363 451 523 XKR6
163 152 142 167 179 180 NA
238 199 189 261 306 369 NA
90 81 72 102 129 170 NA
108 80 74 103 134 180 NA
65 40 44 63 82 75 RPL17P29
1750 1533 1759 1671 1713 1847 MTMR9
259 205 218 232 296 282 LOC101929290
1222 1042 1172 789 939 1067 FAM167A
1243 991 1167 626 768 779 NEIL2
35105 29365 32816 11954 13930 14398 FDFT1
5215 4298 4639 3118 3947 4127 CTSB
58 53 55 40 41 48 NA
167 111 134 155 206 181 FAM66D
66 69 47 63 82 76 FAM86B1
1276 1012 1113 1507 1786 1879 FAM86B2-DT
31 21 22 25 44 46 LOC100421094
33 28 30 42 41 32 NA
87 68 47 47 53 80 FAM86B2
519 434 399 853 998 970 LOC729732
10 12 11 32 47 46 RPS3AP34
19 17 14 33 43 43 NA
3797 3258 3693 1801 1950 2111 LONRF1
789 570 658 1487 1701 1671 TRMT9B
92 82 74 73 81 68 LOC100422204
391 396 438 158 131 196 DLC1
73 78 75 111 137 122 C8orf48
14 10 10 34 36 40 SGCZ
5454 4648 5111 3706 4367 4363 TUSC3
39 23 32 37 41 48 NA
1009 819 989 603 718 668 MICU3
3561 2942 3391 2911 2995 3147 ZDHHC2
7717 6871 8324 6183 6703 6893 CNOT7
1630 1344 1601 1061 1176 1206 VPS37A
426 346 356 709 775 837 MTMR7
19 12 7 45 51 52 NA
277 260 293 87 99 100 SLC7A2
83 96 85 46 50 47 PDGFRL
3146 2769 3197 2281 2388 2575 MTUS1
57 57 35 56 61 63 NA
20043 18201 21165 14632 15541 17168 PCM1
69 63 58 75 59 65 NA
2492 1913 2333 2020 2138 2322 ASAH1
54 61 58 56 52 92 NA
122 86 112 35 46 37 NAT1
11059 9741 10995 7688 8325 9102 PSD3
116 93 108 110 148 170 NA
126 112 98 95 120 146 NA
64 55 63 51 56 48 NA
43 33 31 39 56 70 NA
53 49 64 72 84 89 NA
54 50 73 25 33 23 SH2D4A
24 23 29 69 75 69 CSGALNACT1
2623 2128 2344 1770 1913 2123 INTS10
1300 1123 1344 9485 9847 10825 LPL
2 0 2 95 122 160 SLC18A1
5571 4690 5637 3730 4178 4453 ATP6V1B2
281 279 269 1306 1779 1919 LZTS1
4 3 10 50 56 82 LZTS1-AS1
244 222 288 104 127 119 NA
466 373 413 109 180 148 GFRA2
8200 7180 7864 4707 5196 5466 XPO7
31 26 26 72 108 88 NPM2
40 34 32 889 1150 1255 FGF17
86 91 86 682 977 1069 DMTN
4 2 3 55 64 50 NA
1376 1172 1264 687 1019 1084 FHIP2B
100 66 57 53 65 65 NUDT18
1045 920 951 487 607 660 REEP4
893 803 900 1200 1457 1686 BMP1
266 224 209 182 217 211 PHYHIP
2496 2116 2422 1342 1659 1746 POLR3D
75 41 57 38 43 60 NA
1192 1041 1334 699 741 796 SLC39A14
489 366 432 300 352 368 PPP3CC
79 88 81 101 110 152 NA
1606 1357 1403 785 1190 1312 SORBS3
463 426 437 261 340 345 PDLIM2
94 85 87 44 69 104 C8orf58
4248 3771 4153 3524 4346 4659 CCAR2
42 54 40 39 52 72 NA
789 670 759 536 584 713 BIN3
35 47 48 6 15 12 EGR3
85 64 73 109 145 142 NA
747 682 737 1209 1408 1569 RHOBTB2
4632 4234 4832 1143 1323 1296 TNFRSF10B
45 57 68 10 22 20 TNFRSF10B-AS1
400 438 503 119 152 190 TNFRSF10D
1490 1247 1395 1283 1497 1587 CHMP7
1481 1187 1421 962 1225 1348 R3HCC1
2136 1761 1943 777 969 1072 LOXL2
75 78 70 53 61 52 LOXL2-AS1
7328 5938 6599 3744 4070 4562 ENTPD4
74 59 63 29 49 40 NA
3918 2911 3306 1567 1766 1946 SLC25A37
268 204 246 144 128 152 STC1
308 268 280 202 229 239 NA
1302 1264 1500 3118 3542 4251 NEFM
42 20 45 49 43 38 NA
2586 2012 2406 5092 5278 5713 NEFL
41 42 35 33 30 30 NA
858 770 824 603 660 692 DOCK5
256 190 174 574 730 783 GNRH1
84 70 80 32 43 39 NA
2880 2388 2673 1172 1341 1373 KCTD9
4099 3735 4319 2317 2569 2641 CDCA2
430 472 483 330 350 348 NA
96 58 39 39 29 29 NA
572 368 369 990 1040 1175 EBF2
11 4 4 36 57 66 NA
4745 3926 4593 3152 3412 3537 PPP2R2A
62 47 53 17 22 31 SDAD1P1
12512 9889 11278 4793 4970 5201 BNIP3L
47 52 57 23 19 32 NA
8373 6792 7863 5021 5764 5944 PNMA2
38160 34432 37660 43916 51469 55080 DPYSL2
50 38 58 92 85 108 PSME2P5
6 4 5 32 28 40 NA
17 1 4 113 125 136 ADRA1A
1308 640 754 2872 3479 3452 STMN4
1519 1291 1442 898 1171 1246 TRIM35
398 301 348 293 327 377 PTK2B
1749 1220 1382 384 514 570 EPHX2
5291 4252 4396 1909 2446 2687 CLU
1226 1197 1252 947 1263 1457 SCARA3
124 77 89 66 82 90 NA
3854 3166 3669 1353 1442 1528 CCDC25
1329 1228 1570 1297 1302 1487 ESCO2
3292 2805 3506 1880 2062 2002 PBK
2371 2068 2272 1595 1809 1891 ELP3
924 776 803 790 936 988 ZNF395
588 476 502 323 365 439 FBXO16
36 21 23 38 36 29 NA
31 17 24 40 48 40 NA
39 29 48 36 37 39 NA
36223 29047 34432 26393 27909 27737 FZD3
35 34 25 42 51 51 MIR4288
42 34 33 29 49 42 RNA5SP259
176 147 164 150 203 208 NA
7365 6390 6926 6430 7831 8133 EXTL3
112 97 113 171 228 232 EXTL3-AS1
46 56 49 48 52 62 NA
1121 955 1106 828 951 1010 INTS9
110 68 95 84 102 84 NA
3064 2403 2635 2209 2515 2785 HMBOX1
582 448 524 433 529 551 NA
336 232 256 286 290 316 NA
1073 885 929 718 847 916 KIF13B
3278 3022 3561 5248 6229 6478 DUSP4
57 48 71 52 42 57 NA
30 38 40 29 37 46 NA
6483 5307 5659 4583 5130 5148 SARAF
4110 3466 3847 3737 4383 4439 LEPROTL1
64 60 47 24 34 32 DCTN6-DT
782 806 867 622 746 655 DCTN6
41 24 34 34 48 50 LOC124901927
64 39 78 160 158 195 NA
1345 1027 1241 1186 1493 1644 RBPMS
166 146 171 167 208 224 NA
982 833 1005 776 856 899 GTF2E2
35 23 19 34 49 45 NA
63 55 46 82 129 117 SMIM18
2303 2037 2351 1730 2013 2127 GSR
448 361 443 234 305 295 UBXN8
5190 4343 4862 2727 3012 3111 PPP2CB
293 265 366 365 365 367 TEX15
1352 1028 1228 722 795 885 PURG
3545 3007 3469 1926 2146 2271 WRN
1067 1064 1116 633 681 746 NRG1
1090 960 1122 343 388 350 NA
91 69 85 43 52 63 NA
1665 1311 1487 682 787 793 FUT10
784 715 781 478 567 565 TTI2
1026 1013 1172 684 763 850 MAK16
1311 1156 1138 1087 1267 1421 RNF122
118 83 104 307 379 445 DUSP26
254 246 228 830 864 993 UNC5D
18 14 10 36 49 54 NA
217 176 189 161 206 205 ZNF703
122 108 139 92 73 68 LOC102723701
2984 2705 3037 1940 2155 2287 ERLIN2
78 57 78 42 50 57 NA
1610 1462 1647 1373 1533 1551 PLPBP
136 127 111 55 63 82 ADGRA2
314 286 284 161 217 233 BRF2
255 188 231 341 422 397 RAB11FIP1
687 671 789 396 503 538 EIF4EBP1
46 39 48 41 36 46 NA
93 97 109 33 60 70 NA
3168 2757 3169 2216 2653 2714 ASH2L
71 69 91 65 76 59 STAR
382 345 402 273 296 310 LSM1
2590 2243 2567 1124 1130 1044 BAG4
6937 5602 6398 3926 3992 4251 DDHD2
1844 1486 1603 1170 1299 1412 PLPP5
10080 8037 9072 9116 9749 10625 NSD3
69 52 60 19 37 48 NA
435 434 507 379 515 474 LETM2
21495 17644 18594 10101 12698 13862 FGFR1
228 173 223 202 233 261 NA
106 84 72 70 65 64 NA
3500 2917 3202 2822 3091 3263 TACC1
1548 1165 1236 264 282 249 PLEKHA2
1540 1311 1650 780 878 944 TM2D2
6604 5569 6564 2306 2444 2594 ADAM9
172 170 152 89 89 98 ADAM32
619 489 574 144 181 181 TCIM
1135 1103 1260 345 384 378 ZMAT4
16322 12690 13983 1502 1757 1841 SFRP1
820 649 781 475 515 573 GOLGA7
70 49 51 32 40 37 NA
1474 1339 1626 1038 1272 1303 GINS4
2732 2260 2532 2127 2437 2594 GPAT4
45 43 49 180 229 272 ANK1
12413 10129 11441 8757 9538 10577 KAT6A
139 105 110 130 128 153 NA
32 28 30 32 44 38 LOC124900271
2181 1736 1960 1825 1960 2044 AP3M2
690 563 603 381 459 498 PLAT
1645 1473 1614 1249 1377 1507 IKBKB
1398 1167 1296 1233 1410 1293 POLB
50 45 61 69 54 73 RPL5P23
6278 5083 6207 4174 4744 4529 VDAC3
1953 1708 1986 1394 1500 1576 SLC20A2
105 96 102 91 80 85 NA
1273 1047 1300 658 727 681 SMIM19
559 459 554 368 420 388 THAP1
1337 1151 1277 776 887 918 RNF170
8599 6918 8041 6547 6836 7266 HOOK3
29 14 12 29 42 46 NA
3336 2785 3156 2045 2144 2297 FNTA
6803 5968 6523 6801 7734 7805 POMK
2488 2251 2261 1772 2045 2205 HGSNAT
79 58 56 61 65 57 NA
3086 2592 3007 1924 2114 2308 SPIDR
84 87 94 17 14 23 CEBPD
37364 35290 39684 35420 37459 41696 PRKDC
79 45 61 60 96 84 NA
8870 8423 9459 7115 8065 8861 MCM4
4888 4568 5410 3086 3136 3363 UBE2V2
181 139 149 128 122 165 CLXN
471 410 462 223 284 281 SNAI2
103 114 81 40 36 34 NA
153 179 175 139 201 221 SNTG1
167 109 170 28 40 61 PXDNL
4417 3449 3976 2378 2524 2509 PCMTD1
50 63 55 30 59 79 NA
675 611 672 378 439 457 PCMTD1-DT
433 306 349 2942 3136 3322 ST18
1 2 3 22 63 45 NA
3 3 5 35 26 43 LOC101929341
8133 6478 8361 4926 4908 5325 RB1CC1
94 95 78 68 64 70 NA
12 25 30 25 36 39 NA
277 248 247 736 777 857 OPRK1
150 159 191 179 196 225 LINC02984
38 23 25 58 72 62 NA
120 92 103 101 144 140 NA
1561 1331 1497 892 1092 1056 ATP6V1H
1592 1336 1496 863 1050 1039 RGS20
64 52 56 24 27 36 NA
88 48 56 42 34 54 NA
198 180 155 158 141 156 NA
41 44 26 38 29 43 RNU6-1331P
9261 8041 9212 4585 4809 4730 TCEA1
124 122 128 123 134 146 NA
5289 4642 5347 2760 2860 2730 LYPLA1
27 24 25 34 44 36 NA
2163 2026 2324 1228 1488 1444 MRPL15
216 157 168 1430 1552 1715 XKR4
2 1 7 25 49 51 NA
5 0 8 33 39 28 NA
1294 1109 1225 979 1060 1053 TMEM68
2300 2222 2469 2024 2182 2297 TGS1
421 388 398 224 223 240 LYN
26710 21878 25835 11530 13088 13629 RPS20
4476 3446 3994 1257 1302 1322 PLAG1
2069 1720 1896 861 946 967 CHCHD7
36 32 26 40 40 25 NA
4282 3644 4176 3452 3734 3984 BPNT2
402 387 422 576 804 743 FAM110B
3586 3255 3685 3726 3882 4198 UBXN2B
154 150 134 141 162 194 NA
8160 7017 8511 5966 6504 6303 SDCBP
1538 1476 1587 1172 1403 1481 NSMAF
3363 2844 3127 3274 3401 3728 TOX
37 25 33 52 69 78 NA
367 325 370 381 459 511 TOX-DT
122 111 140 168 212 185 CA8
153 107 120 104 94 104 NA
3904 3527 3978 3368 3648 3707 RAB2A
26999 23029 25703 21563 23595 26452 CHD7
22 27 26 48 60 45 NA
7 9 7 38 41 38 NA
39 41 32 54 63 70 NA
129 81 122 252 278 321 CLVS1
5207 4344 4984 2490 2864 3071 ASPH
33 17 18 90 107 135 NA
2397 1912 2001 6447 7403 8303 NKAIN3
6 3 3 35 34 39 NA
13 6 14 51 62 73 NA
30 21 21 122 155 179 NA
8 3 7 35 50 38 XRCC6P4
3048 2724 3078 1648 1718 1738 GGH
104 83 76 67 56 71 TTPA
81 64 85 20 17 25 NA
6441 5637 6553 4473 4743 4732 YTHDF3
48 42 53 68 73 75 NA
95 63 69 8 10 15 NA
250 205 248 60 79 70 NA
2838 2337 2680 415 440 460 LINC01414
82 78 88 19 12 8 NA
244 216 234 81 54 87 LINC01289
97 92 97 30 16 25 NA
98 95 76 42 26 25 NA
141 102 140 35 48 37 NA
14612 11626 12947 9263 10028 10914 MIR124-2HG
47 34 39 260 306 327 BHLHE22
551 569 732 367 410 435 CYP7B1
22 27 42 55 46 16 NA
3897 3516 3983 2350 2391 2516 ARMC1
2429 1992 2254 1510 1601 1580 MTFR1
5167 4380 5011 3317 3639 3959 PDE7A
28 32 31 35 30 58 NA
42 38 55 44 33 44 NA
2 3 2 316 393 405 CRH
37 28 41 34 61 63 RRS1-DT
229 232 288 157 197 266 RRS1
68 63 67 41 46 42 ADHFE1
478 337 476 715 780 789 MYBL1
3914 3108 3719 2322 2397 2531 VCPIP1
489 416 409 327 352 329 C8orf44
849 653 817 287 344 359 NA
66 56 62 25 45 41 NA
1991 1850 2165 1445 1441 1575 COPS5
3183 2812 3028 2524 3036 3102 CSPP1
4816 4010 4408 4382 4521 4976 ARFGEF1
57 51 47 62 76 62 NA
202 124 151 121 117 115 ARFGEF1-DT
2889 2405 2793 7570 8167 9114 PREX2
17 9 20 43 37 56 LOC105375888
20 22 16 63 82 109 NA
6 7 6 89 149 125 C8orf34-AS1
17 30 35 533 527 505 C8orf34
7146 6227 7488 1932 2022 2171 SULF1
480 381 418 686 704 814 SLCO5A1
61 58 60 87 69 77 SLCO5A1-AS1
33 20 20 45 25 40 NA
6357 5512 6363 4541 4823 5405 NCOA2
168 136 131 36 59 48 NA
4938 4289 4946 2650 2831 2575 TRAM1
131 124 148 31 48 64 LACTB2-AS1
405 317 419 127 147 131 LACTB2
48 43 41 9 19 14 XKR9
772 612 729 68 62 70 EYA1
60 49 35 13 11 32 NA
206 128 157 37 38 40 NA
56 45 63 12 6 18 NA
63 50 72 0 3 1 NA
177 142 175 325 398 423 KCNB2
16 13 13 44 66 58 LOC101926908
46 34 39 133 154 122 NA
3283 2908 3466 2699 2839 2922 TERF1
176 155 196 150 213 198 NA
91 73 80 127 116 117 SBSPON
88 59 67 42 35 42 NA
72380 60707 72410 21293 24872 24591 RPL7
389 305 399 289 336 324 RDH10
88 65 63 66 71 56 RDH10-AS1
5017 4028 4662 3638 3962 3930 STAU2
95 83 87 90 153 119 NA
3175 2748 3211 1714 1930 1881 UBE2W
2225 2038 2423 1385 1498 1406 ELOC
823 790 817 488 605 608 TMEM70
67 106 125 76 77 99 JPH1
2323 2035 2484 3949 4396 4590 GDAP1
375 249 283 79 95 90 MIR2052HG
76 48 72 24 44 46 NA
147 141 105 24 16 21 NA
822 660 777 516 504 516 PI15
5385 4878 5505 3026 3196 3336 CRISPLD1
65 58 61 26 36 33 NA
557 413 453 36 46 46 CASC9
87 79 88 18 18 23 HNF4G
307 264 309 0 2 3 LOC102724858
4 5 2 119 135 175 NA
251 246 261 1628 2003 2011 ZFHX4-AS1
2 2 0 22 40 59 NA
11 10 13 94 112 123 NA
3505 3040 3337 14858 16546 18796 ZFHX4
7 6 11 31 37 48 NA
2802 2220 2569 1467 1615 1606 PEX2
98 87 76 84 86 106 NA
156 164 153 240 198 277 PKIA-AS1
3646 3074 3546 4969 5481 5783 PKIA
92 87 104 241 290 280 NA
1887 1766 1935 1550 1522 1522 ZC2HC1A
95 66 90 133 114 151 IL7
30 19 37 56 57 65 NA
4101 3109 3381 11712 12458 12820 STMN2
133 86 113 536 621 641 HEY1
32 27 31 32 54 43 LOC124901966
130 115 141 66 116 102 MRPS28
75 55 47 54 52 67 NA
36 26 37 32 44 38 NA
543 437 515 254 227 265 TPD52
107 88 90 65 75 77 NA
9016 7816 8702 5944 6769 6914 ZBTB10
100 92 121 140 182 234 NA
63 70 77 84 95 112 NA
943 743 892 272 331 372 RPSAP47
6806 5501 6110 5524 6149 6973 ZNF704
51 35 55 47 67 50 NA
450 366 446 953 1001 1136 PAG1
35 44 35 41 65 53 NA
23 30 40 39 56 45 NA
1067 1008 1180 522 581 614 FABP5
1812 1565 1829 1071 1094 1085 IMPA1
24 22 23 26 41 47 SLC10A5
62 53 61 74 71 85 NA
2401 1968 2306 958 1101 1066 ZFAND1
679 545 643 437 451 430 SNX16
307 278 309 423 448 448 RALYL
137 106 166 106 119 135 E2F5-DT
1601 1443 1924 1257 1336 1269 LRRCC1
1964 1783 2082 1152 1267 1371 E2F5
111 101 93 62 90 87 NA
992 641 853 386 378 402 RBIS
248 213 205 121 132 162 CA13
156 140 127 136 128 126 CA3
214 180 211 91 100 120 NA
958 815 863 405 417 426 CA2
3806 2952 3503 1798 2113 2233 WWP1
2254 1812 2153 1297 1458 1418 RMDN1
90 70 75 60 59 69 NTAN1P2
43 59 60 47 37 44 NA
8249 6503 7343 3881 4410 4295 CPNE3
5411 4159 5082 3873 4212 4547 MMP16
463 384 407 189 226 241 NA
126 102 103 21 21 14 NA
1482 1192 1368 1168 1284 1453 PARAIL
938 836 928 318 340 372 RIPK2
667 655 687 378 440 452 OSGIN2
4197 3672 4167 3056 3230 3306 NBN
63 43 60 40 61 51 NA
2754 2400 2868 1831 2070 2219 DECR1
103 121 118 1305 1455 1479 CALB1
1434 1153 1373 796 819 802 TMEM64
121 85 123 28 34 22 LOC124906712
144 92 140 89 105 97 NECAB1
133 117 141 49 52 43 C8orf88
708 579 637 472 469 357 PIP4P2
44 41 41 65 56 56 NA
1679 1322 1760 978 1045 1151 OTUD6B-AS1
1059 907 1197 686 730 699 OTUD6B
47 45 47 29 30 37 LRRC69
149 142 168 1825 2040 2342 RUNX1T1
60 51 57 47 54 60 FLJ46284
63 51 54 51 53 60 NA
3412 2694 3192 1328 1354 1332 TRIQK
118 118 107 74 101 104 CIBAR1-DT
2392 2080 2433 1347 1543 1588 CIBAR1
254 200 218 166 184 204 NA
419 377 382 286 330 336 NA
6182 5263 5764 3535 3852 4047 RBM12B
380 353 364 205 225 247 RBM12B-AS1
2552 2137 2425 2049 2190 2207 TMEM67
1402 1208 1284 2452 2615 2736 PDP1
366 330 347 169 189 163 GEM
492 391 521 318 351 349 RAD54B
1557 1499 1632 794 856 826 FSBP
6322 5218 6088 4223 4275 4625 VIRMA
136 126 133 61 82 99 VIRMA-DT
2460 2065 2448 1682 1694 1563 DPY19L4
4919 3991 4608 3265 3587 3661 INTS8
434 374 408 522 575 622 CCNE2
53 45 32 54 44 48 NA
1258 1248 1346 977 1128 1217 NDUFAF6
8629 6808 7523 4402 4645 4799 TP53INP1
649 545 564 442 557 480 PLEKHF2
143 100 108 35 40 41 CFAP418-AS1
431 400 443 330 307 318 CFAP418
48 63 44 15 33 24 GDF6
7361 5975 7111 2798 3178 3323 UQCRB
56 43 55 16 33 26 UQCRB-AS1
1295 1111 1228 789 859 951 MTERF3
2318 2058 2186 1552 1856 2034 PTDSS1
10810 10250 11891 3299 3729 3516 SDC2
413 370 412 319 321 384 CPQ
253 188 203 101 98 112 TSPYL5
4406 3912 4504 3873 4010 3974 MTDH
8769 7941 9004 4690 5362 5294 LAPTM4B
431 331 417 369 481 517 MATN2
5772 4262 5619 1535 1850 2286 RPL30
72 63 66 31 26 39 NA
92 100 98 55 62 73 NA
1172 1070 1195 507 585 594 RIDA
843 783 853 735 835 822 POP1
97 81 75 125 89 129 NIPAL2
1688 1458 1677 730 790 883 STK3
27 28 34 45 58 45 KCNS2
355 271 329 118 138 154 VPS13B-DT
59 61 57 29 50 51 NA
6768 5467 6227 4657 5136 5408 VPS13B
19 14 22 32 39 53 LOC100420057
2687 2380 2651 1286 1478 1514 COX6C
166 136 156 96 119 123 RGS22
185 167 188 165 173 174 FBXO43
